Task ID,Task Name,Tier,Effort (eng-days),Duration (cal days),Dependencies,Staff Assignment,GPU Requirements,Start Week,End Week,Notes
T1.1,TPE Searcher,Tier 1,2,2,W4.2,Senior Engineer 1,,5,5,"Tree-structured Parzen Estimator, Optuna-based"
T1.2,ASHA Scheduler,Tier 1,3,3,W4.2,Senior Engineer 1,,5,5,Asynchronous Successive Halving
T1.3,MO-ASHA Scheduler,Tier 1,2,2,T1.2,Senior Engineer 2,,5,5,Multi-objective ASHA variant
T1.4,qLogNEHVI Searcher,Tier 1,3,3,W4.2,Senior Engineer 1,,5,6,"Multi-objective BoTorch, log NEHVI"
T1.5,TuRBO Searcher,Tier 1,5,5,W4.2,Senior Engineer 2,,5,6,"Trust region BO, local modeling"
T1.6,Chebyshev Scalarization,Tier 1,2,2,T1.4,Senior Engineer 1,,6,6,Multi-objective scalarization baseline
T1.7,NSGA-II Searcher,Tier 1,2,2,T1.4,Senior Engineer 2,,6,6,Evolutionary multi-objective baseline
T1.8,EI-per-cost Acquisition,Tier 1,3,3,T0.1,Senior Engineer 1,,6,7,"Cost-aware BO, cost GP model"
T1.9,V06 ASHA vs Median,Tier 1,2,2,T1.2,Senior Engineer 2,A100 x1 x3d,6,6,Early stopping validation
T1.10,V07 MO-ASHA Early Stop,Tier 1,3,3,T1.3,Senior Engineer 1,A100 x2 x3d,7,7,Multi-objective early stopping
T1.11,V08 qLogNEHVI Pareto,Tier 1,2,2,T1.4,Senior Engineer 2,,7,7,Pareto front quality validation
T1.12,V09 qLogNEHVI vs Scalar,Tier 1,2,2,"T1.4,T1.6,T1.7",Senior Engineer 1,,7,7,Compare MO approaches
T1.13,V11 TuRBO Local Trust,Tier 1,3,3,T1.5,Senior Engineer 2,,7,8,"Trust region behavior, GPU x1 x2d"
T1.14,V12 EI-per-cost Efficiency,Tier 1,2,2,T1.8,Senior Engineer 1,,8,8,Cost-aware optimization validation
T1.15,Tier 1 Core Gate,Tier 1,1,1,"T1.9,T1.10,T1.11,T1.12,T1.13,T1.14",Senior Engineer 1,,8,8,Core algorithms validated
T1P.1,πBO Searcher,Tier 1 (Priors),3,3,T1.15,Senior Engineer 1,,8,9,"Prior-guided BO, fix GP mean → acquisition"
T1P.2,PriorBand Scheduler,Tier 1 (Priors),3,3,T1.15,Senior Engineer 2,,8,9,"Prior-guided ASHA, fix top-K → portfolio"
T1P.3,ifBO Searcher,Tier 1 (Transfer),4,4,T1.15,Senior Engineer 1,,9,9,"Iterative feature BO, fix custom → pretrained"
T1P.4,Warm-start Transfer,Tier 1 (Transfer),3,3,T1.15,Senior Engineer 2,,9,10,"RGPE transfer, fix immediate → ranked query"
T1P.5,V15 πBO Prior Encoding,Tier 1 (Priors),2,2,T1P.1,Senior Engineer 1,,10,10,Prior injection validation
T1P.6,V13 Warm-start Effectiveness,Tier 1 (Transfer),2,2,T1P.4,Senior Engineer 2,,10,10,Transfer learning validation
T1P.7,Tier 1 Full Gate,Tier 1,1,1,"T1P.5,T1P.6",Senior Engineer 1,,10,10,All Tier 1 protocols pass
T2.1,BG-PBT Scheduler,Tier 2,8,8,T1P.7,Senior Engineer 1 + 2,A100 x2 x5d,11,12,"Population-based training, V04-T1 dependent"
T2.2,Mixed-space TuRBO,Tier 2,5,5,T1P.7,Senior Engineer 1,,11,12,Categorical + continuous trust regions
T2.3,V10 Rung Correlation,Tier 2,2,2,T2.1,Senior Engineer 2,,12,12,Early-stopping correlation validation
T2.4,Tier 2 Gate,Tier 2,1,1,"T2.2,T2.3",Senior Engineer 1,,12,12,Conditional on V04-T1 resolution
DB.1,Ray Fault Injection Tests,Distributed-β,3,3,T2.4,Senior Engineer 2,,13,13,"Worker crash, network partition"
DB.2,Multi-cluster Scaling,Distributed-β,5,5,T2.4,Senior Engineer 1 + 2,A100 x4 x3d,13,13,100+ concurrent trials
DB.3,Checkpoint Stress Test,Distributed-β,2,2,T2.4,Senior Engineer 2,,13,13,"Large state, concurrent writes"
DB.4,Production Readiness,Distributed-β,3,3,"DB.1,DB.2,DB.3",Senior Engineer 1,,13,13,"Monitoring, logging, observability"
DB.5,Final Gate,Distributed-β,1,1,DB.4,Senior Engineer 1,,13,13,Production-ready verdict

SUMMARY,,,,,,,,,
Total Eng-Days (without contingency),100,,,,,,,
Contingency (25%),25,,,,,,,
Total Eng-Days (with contingency),125,,,,,,,
Calendar Duration (weeks),13,,,,,,,
Staff Count,2,,,,,Senior Engineer 1 + Senior Engineer 2,,
GPU Requirements,A100 x1: 5d | A100 x2: 11d | A100 x4: 3d,,,,,Total: 19 GPU-days,,

STAFFING ALLOCATION,,,,,,,,,
Senior Engineer 1,"62.5 eng-days (50%), planning + Tier 0 + Tier 1 core + Tier 2",,,,,,,
Senior Engineer 2,"62.5 eng-days (50%), remediation + distributed + validation",,,,,,,

CRITICAL PATH,,,,,,,,,
Week 1-3,Specification + Contracts + Remediation,,,,,,,
Week 4,Tier 0 Implementation + Gate,,,,,,,
Week 5-10,Tier 1 Implementation + Validation,,,,,,,
Week 11-12,Tier 2 (conditional on V04-T1),,,,,,,
Week 13,Distributed-β Hardening,,,,,,,
